link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability,status
https://nhadat.cafeland.vn/chi-32-ty-so-huu-can-ho-view-bien-ngam-phao-hoa-giua-trung-tam-da-nang-2271005.html,CHỈ 3.2 TỶ SỞ HỮU CĂN HỘ VIEW BIỂN NGẮM PHÁO HOA GIỮA TRUNG TÂM ĐÀ NẴNG,"Thạch Thang, Hải Châu, TP. Đà Nẵng Lưu tin",~64 triệu /m2,50m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/dat-nha-ban-gap-760m2-tho-cu-gan-ql-14-sat-cho-trhoc-dan-dong-gia-210trso-2271000.html,"ĐẤT NHÀ BÁN GẤP 760M2 THỔ CƯ GẦN QL 14 SÁT CHỢ, TR.HỌC DÂN ĐÔNG. GIÁ 210TR/SỔ","Minh Hưng, Chơn Thành, Bình Phước Lưu tin",~276 nghìn/m2,760m2,Bán đất thổ cư,,,,,,,,processed
https://nhadat.cafeland.vn/hiem-mat-ten-khu-38-ha-tan-thoi-nhat-quan-12-ban-nha-42m-x-20m-4-tang-btct-2270282.html,HIẾM - MẶT TỀN -KHU 38 HA TÂN THỚI NHẤT-QUẬN 12 -BÁN NHÀ 4.2M X 20M- 4 TẦNG BTCT,"Tân Thới Nhất, Quận 12, TP. Hồ Chí Minh Lưu tin",~117 triệu/m2,84m2,Bán nhà riêng,,4 tầng,6.0,10m - 15m,1.0,5 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/eco-retreat-ban-shopvilla-dinh-thu-dao-can-ho-gia-cdt-bank-0902413541-2270983.html,ECO RETREAT- BÁN SHOPVILLA - DINH THỰ ĐẢO - CĂN HỘ GIÁ CĐT - BANK - 0902413541,"Đường nguyễn hữu trí, Thanh Phú, Bến Lức, Long An Lưu tin","~83,9 triệu /m2",274m2,Bán biệt thự,Không xác định,3 tầng,3.0,30m - 50m,1.0,4 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/ban-nha-4-tang-102m2-duong-pham-the-hien-quan-8-gia-nhinh-7-ty-2270161.html,"Bán nhà 4 tầng 102m2 đường Phạm thế Hiển, Quận 8 giá nhỉnh 7 tỷ","Phường 5, Quận 8, TP. Hồ Chí Minh Lưu tin","~68,6 triệu /m2",102m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/ban-nha-dep-2-mat-tien-tran-ke-xuong-phu-nhuan-ngay-cv-phu-nhuan-phan-dang-luu-2268404.html,"Bán Nhà Đẹp 2 Mặt Tiền Trần Kế Xương Phú Nhuận ngay CV Phú Nhuận, Phan Đăng Lưu","Trần Kế Xương, Phường 7, Quận Phú Nhuận, TP. Hồ Chí Minh Lưu tin",~177 triệu/m2,89m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/cc-ban-nhanh-cap-day-tro-gan-cho-binh-chanh-gia-ngop-990tr-2270411.html,CC bán nhanh cặp dãy trọ gần chợ Bình Chánh giá ngộp 990tr,"Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh Lưu tin","~3,3 triệu /m2",300m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/mo-ban-nha-pho-mat-bien-khanh-hoa-moi-chiet-khau-cao-len-den-11-2270677.html,MỞ BÁN NHÀ PHỐ MẶT BIỂN KHÁNH HÒA MỚI - CHIẾT KHẤU CAO LÊN ĐẾN 11%,"Đường 16/4, Mỹ Bình, Phan Rang - Tháp Chàm, Ninh Thuận Lưu tin",~170 nghìn/m2,100m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/duong-lang-dong-da-100m-4t-mt-49m-gia-174-ty-nha-mat-ngo-kinh-doanh-2270671.html,"ĐƯỜNG LÁNG, ĐỐNG ĐA: 100M - 4T - MT: 4,9m giá 17,4 tỷ - NHÀ MẶT NGÕ , KINH DOANH","22/5, Láng, Láng Thượng, Đống Đa, Hà Nội Lưu tin",~174 nghìn/m2,100m2,Bán nhà riêng,Đông Bắc,4 tầng,5.0,2m,1.0,4 phòng,Chủ quyền tư nhân,processed
https://nhadat.cafeland.vn/anh-chin-binh-tan-sang-day-tro-10-phong-gia-1ty8-qui-duc-binh-chanh-2270635.html,"Anh Chín Bình Tân sang dãy trọ 10 phòng giá 1ty8, Qui Đức-Bình Chánh.","Bùi Văn Sự, Qui Đức, Huyện Bình Chánh, TP. Hồ Chí Minh Lưu tin","~6,3 triệu /m2",227m2,Bán nhà riêng,,,,,,,,processed
